tRNA	tRNA
others	snRNA
snoRNA	snoRNA
rRNA	rRNA
pseudogene	pseudogene
pseudogene	disrupted_domain
pseudogene	IGC_pseudogene
pseudogene	IGJ_pseudogene
pseudogene	IG_pseudogene
pseudogene	IGV_pseudogene
pseudogene	processed_pseudogene
pseudogene	transcribed_processed_pseudogene
pseudogene	transcribed_unitary_pseudogene
pseudogene	transcribed_unprocessed_pseudogene
pseudogene	translated_processed_pseudogene
pseudogene	TRJ_pseudogene
pseudogene	unprocessed_pseudogene
pseudogene	IG_C_pseudogene
pseudogene	IG_J_pseudogene
pseudogene	IG_V_pseudogene
pseudogene	translated_unprocessed_pseudogene
pseudogene	TR_J_pseudogene
pseudogene	TR_V_pseudogene
pseudogene	unitary_pseudogene
protein_coding	IGC_gene
protein_coding	IGD_gene
protein_coding	IG_gene
protein_coding	IGJ_gene
protein_coding	IGLV_gene
protein_coding	IGM_gene
protein_coding	IGV_gene
protein_coding	IGZ_gene
protein_coding	nonsense_mediated_decay
protein_coding	nontranslating_CDS
protein_coding	polymorphic_pseudogene
protein_coding	TRC_gene
protein_coding	TRD_gene
protein_coding	TRJ_gene
protein_coding	protein_coding
protein_coding	IG_C_gene
protein_coding	IG_D_gene
protein_coding	IG_J_gene
protein_coding	IG_LV_gene
protein_coding	IG_M_gene
protein_coding	IG_V_gene
protein_coding	IG_Z_gene
protein_coding	TR_C_gene
protein_coding	TR_D_gene
protein_coding	TR_gene
protein_coding	TR_J_gene
protein_coding	TR_V_gene
others	miscRNA
others	Mt_rRNA
others	Mt_tRNA
others	sRNA
others	scRNA
others	snlRNA
others	miRNA_pseudogene
others	misc_RNA
others	misc_RNA_pseudogene
others	Mt_tRNA_pseudogene
others	ncRNA
others	RNase_MRP_RNA
others	RNase_P_RNA
others	rRNA_pseudogene
others	scRNA_pseudogene
others	snoRNA_pseudogene
others	snRNA_pseudogene
others	SRP_RNA
others	tmRNA
others	tRNA_pseudogene
others	TEC
others	scaRNA
others	ribozyme
miRNA	miRNA
miRNA	pre_miRNA
lncRNA	3prime_overlapping_ncRNA
lncRNA	ambiguous_orf
lncRNA	antisense
lncRNA	antisense_RNA
lncRNA	lincRNA
lncRNA	ncrna_host
lncRNA	non_coding
lncRNA	non_stop_decay
lncRNA	processed_transcript
lncRNA	retained_intron
lncRNA	sense_intronic
lncRNA	sense_overlapping
lncRNA	bidirectional_promoter_lncRNA
lncRNA	macro_lncRNA
